problem,direction,iteration,calls,f,gap
maxq,gradient,213,769,0.0004404246155218803,0.0004404246155218803
maxq,gradient,214,770,0.0003469708781276924,0.0003469708781276924
maxq,gradient,215,774,0.00033811947988340266,0.00033811947988340266
maxq,gradient,216,780,0.00032356705014034037,0.00032356705014034037
maxq,gradient,217,784,0.0003204201514132421,0.0003204201514132421
maxq,gradient,218,785,0.00031397554720365606,0.00031397554720365606
maxq,gradient,219,787,0.0002599157900583941,0.0002599157900583941
maxq,gradient,220,795,0.0002595746891578396,0.0002595746891578396
maxq,gradient,221,796,0.00024630398192510017,0.00024630398192510017
maxq,gradient,222,798,0.00020741997015894084,0.00020741997015894084
maxq,gradient,223,805,0.00020591665741049778,0.00020591665741049778
maxq,gradient,224,807,0.0002034229598116219,0.0002034229598116219
maxq,gradient,225,808,0.00017079875224686923,0.00017079875224686923
maxq,gradient,226,811,0.00015332427865067915,0.00015332427865067915
maxq,gradient,227,816,0.00014893864075929354,0.00014893864075929354
maxq,gradient,228,819,0.00014339063232011518,0.00014339063232011518
maxq,gradient,229,821,0.0001177867715308612,0.0001177867715308612
maxq,gradient,230,828,0.00011670108498572879,0.00011670108498572879
maxq,gradient,231,829,0.0001161352548552447,0.0001161352548552447
maxq,gradient,232,833,0.00011303612989776451,0.00011303612989776451
maxq,gradient,233,837,0.00011273003644892196,0.00011273003644892196
maxq,gradient,234,839,8.463963280539825e-05,8.463963280539825e-05
maxq,gradient,235,842,7.904717006157675e-05,7.904717006157675e-05
maxq,gradient,236,845,7.600929143181229e-05,7.600929143181229e-05
maxq,gradient,237,849,6.948235644752857e-05,6.948235644752857e-05
maxq,gradient,238,850,6.225385509747131e-05,6.225385509747131e-05
maxq,gradient,239,854,5.596192953693047e-05,5.596192953693047e-05
maxq,gradient,240,856,5.483822248948829e-05,5.483822248948829e-05
maxq,gradient,241,861,5.314521973586122e-05,5.314521973586122e-05
maxq,gradient,242,864,4.369760467319085e-05,4.369760467319085e-05
maxq,gradient,243,870,4.313765924307761e-05,4.313765924307761e-05
maxq,gradient,244,876,4.3073230808191264e-05,4.3073230808191264e-05
maxq,gradient,245,877,3.762495237522368e-05,3.762495237522368e-05
maxq,gradient,246,879,3.7466163732695815e-05,3.7466163732695815e-05
maxq,gradient,247,882,3.4857494721077454e-05,3.4857494721077454e-05
maxq,gradient,248,887,3.4857002182947144e-05,3.4857002182947144e-05
maxq,gradient,249,889,3.148841790724559e-05,3.148841790724559e-05
maxq,gradient,250,895,2.9679345812642693e-05,2.9679345812642693e-05
maxq,gradient,251,896,2.3238180894994344e-05,2.3238180894994344e-05
maxq,gradient,251,896,2.3238180894994344e-05,2.3238180894994344e-05
maxq,cutting_plane,1,4,2401.0,2401.0
maxq,cutting_plane,2,7,2305.9204000000004,2305.9204000000004
maxq,cutting_plane,3,9,2304.0,2304.0
maxq,cutting_plane,4,12,2209.0,2209.0
maxq,cutting_plane,5,18,2116.0,2116.0
maxq,cutting_plane,6,24,2040.5720200262044,2040.5720200262044
maxq,cutting_plane,7,26,2025.0,2025.0
maxq,cutting_plane,8,29,1936.0,1936.0
maxq,cutting_plane,9,33,1849.0,1849.0
maxq,cutting_plane,10,38,1764.0,1764.0
maxq,cutting_plane,11,46,1759.4448131673082,1759.4448131673082
maxq,cutting_plane,12,48,1681.0,1681.0
maxq,cutting_plane,13,51,1600.0,1600.0
maxq,cutting_plane,14,54,1577.437513169065,1577.437513169065
maxq,cutting_plane,15,56,1521.0,1521.0
maxq,cutting_plane,16,59,1444.0,1444.0
maxq,cutting_plane,17,64,1375.7791313850537,1375.7791313850537
maxq,cutting_plane,18,66,1369.0,1369.0
maxq,cutting_plane,19,69,1296.0,1296.0
maxq,cutting_plane,20,74,1225.0,1225.0
maxq,cutting_plane,21,80,1156.0,1156.0
maxq,cutting_plane,22,95,1155.93423806949,1155.93423806949
maxq,cutting_plane,23,102,1089.0,1089.0
maxq,cutting_plane,24,107,1024.0,1024.0
maxq,cutting_plane,25,114,985.419172180828,985.419172180828
maxq,cutting_plane,26,116,961.0,961.0
maxq,cutting_plane,27,119,900.0,900.0
maxq,cutting_plane,28,123,841.0,841.0
maxq,cutting_plane,29,128,784.0,784.0
maxq,cutting_plane,30,135,737.3874304363864,737.3874304363864
maxq,cutting_plane,31,143,735.0746393255852,735.0746393255852
maxq,cutting_plane,32,145,729.0,729.0
maxq,cutting_plane,33,147,676.0,676.0
maxq,cutting_plane,34,151,625.0,625.0
maxq,cutting_plane,35,156,576.0,576.0
maxq,cutting_plane,36,162,529.0,529.0
maxq,cutting_plane,37,170,515.5642897035556,515.5642897035556
maxq,cutting_plane,38,172,484.0,484.0
maxq,cutting_plane,39,182,483.51854050480034,483.51854050480034
maxq,cutting_plane,40,190,441.0,441.0
maxq,cutting_plane,41,195,418.88437910654795,418.88437910654795
maxq,cutting_plane,42,202,418.81657050598255,418.81657050598255
maxq,cutting_plane,43,205,400.0,400.0
maxq,cutting_plane,44,211,379.1103587178423,379.1103587178423
maxq,cutting_plane,45,213,361.0,361.0
maxq,cutting_plane,46,216,349.4340135604987,349.4340135604987
maxq,cutting_plane,47,218,324.0,324.0
maxq,cutting_plane,48,223,323.5799857168885,323.5799857168885
maxq,cutting_plane,49,226,289.0,289.0
maxq,cutting_plane,50,232,256.0,256.0
maxq,cutting_plane,51,241,254.9984392912609,254.9984392912609
maxq,cutting_plane,52,249,225.0,225.0
maxq,cutting_plane,53,253,196.0,196.0
maxq,cutting_plane,54,258,169.0,169.0
maxq,cutting_plane,55,266,164.9865008851364,164.9865008851364
maxq,cutting_plane,56,268,144.0,144.0
maxq,cutting_plane,57,274,143.8581281306122,143.8581281306122
maxq,cutting_plane,58,276,121.0,121.0
maxq,cutting_plane,59,280,100.0,100.0
maxq,cutting_plane,60,287,95.12547843183789,95.12547843183789
maxq,cutting_plane,61,289,81.0,81.0
maxq,cutting_plane,62,293,77.06929531781184,77.06929531781184
maxq,cutting_plane,63,297,64.38426524903949,64.38426524903949
maxq,cutting_plane,64,302,64.0,64.0
maxq,cutting_plane,65,307,53.83415654126536,53.83415654126536
maxq,cutting_plane,66,310,51.601544021765136,51.601544021765136
maxq,cutting_plane,67,312,49.0,49.0
maxq,cutting_plane,68,316,43.49473005145305,43.49473005145305
maxq,cutting_plane,69,319,41.6361937734298,41.6361937734298
maxq,cutting_plane,70,327,41.32609767167419,41.32609767167419
maxq,cutting_plane,71,329,36.0,36.0
maxq,cutting_plane,72,332,28.75649099573684,28.75649099573684
maxq,cutting_plane,73,336,25.0,25.0
maxq,cutting_plane,74,341,20.596632158214398,20.596632158214398
maxq,cutting_plane,75,347,20.131985633342705,20.131985633342705
maxq,cutting_plane,76,350,19.239577981457256,19.239577981457256
maxq,cutting_plane,77,353,16.506809942437688,16.506809942437688
maxq,cutting_plane,78,356,16.0,16.0
maxq,cutting_plane,79,361,13.67789102245886,13.67789102245886
maxq,cutting_plane,80,368,12.808988980198698,12.808988980198698
maxq,cutting_plane,81,370,9.0,9.0
maxq,cutting_plane,82,376,8.664581906906921,8.664581906906921
maxq,cutting_plane,83,380,8.46865232933315,8.46865232933315
maxq,cutting_plane,84,386,8.106307423167307,8.106307423167307
maxq,cutting_plane,85,389,7.698647804243604,7.698647804243604
maxq,cutting_plane,86,392,7.416654395043461,7.416654395043461
maxq,cutting_plane,87,397,7.072464574620348,7.072464574620348
maxq,cutting_plane,88,403,6.587270410751355,6.587270410751355
maxq,cutting_plane,89,405,5.407834286665608,5.407834286665608
maxq,cutting_plane,90,408,5.282434816910798,5.282434816910798
maxq,cutting_plane,91,415,5.246682471849221,5.246682471849221
maxq,cutting_plane,92,417,5.141830190080647,5.141830190080647
maxq,cutting_plane,93,421,4.8315908402199526,4.8315908402199526
maxq,cutting_plane,94,424,4.820170601472514,4.820170601472514
maxq,cutting_plane,95,427,4.0,4.0
maxq,cutting_plane,96,432,3.978216541064069,3.978216541064069
maxq,cutting_plane,97,437,3.8973586633790984,3.8973586633790984
maxq,cutting_plane,98,443,3.539955054533894,3.539955054533894
maxq,cutting_plane,99,451,3.4669142931446975,3.4669142931446975
maxq,cutting_plane,100,458,3.257404385374674,3.257404385374674
maxq,cutting_plane,101,464,3.2241522125878217,3.2241522125878217
maxq,cutting_plane,102,466,2.3383781025318475,2.3383781025318475
maxq,cutting_plane,103,469,2.308396829260351,2.308396829260351
maxq,cutting_plane,104,473,2.068390037267287,2.068390037267287
maxq,cutting_plane,105,477,1.7843413470336191,1.7843413470336191
maxq,cutting_plane,106,482,1.7738932970205834,1.7738932970205834
maxq,cutting_plane,107,485,1.7721148451815736,1.7721148451815736
maxq,cutting_plane,108,488,1.7108334434445807,1.7108334434445807
maxq,cutting_plane,109,496,1.7021619587809407,1.7021619587809407
maxq,cutting_plane,110,498,1.570882187487444,1.570882187487444
maxq,cutting_plane,111,503,1.4685080996252902,1.4685080996252902
maxq,cutting_plane,112,510,1.4520090599796789,1.4520090599796789
maxq,cutting_plane,113,512,1.4073076854182078,1.4073076854182078
maxq,cutting_plane,114,515,1.3997266734650777,1.3997266734650777
maxq,cutting_plane,115,518,1.3017272718288906,1.3017272718288906
maxq,cutting_plane,116,524,1.2777070842731197,1.2777070842731197
maxq,cutting_plane,117,532,1.2771697836230713,1.2771697836230713
