f,violation,stationarity,complementarity,dual_min,f_gap,y_inf,y_rel,iteration,problem,method,config,diverged,primal_lr
-93.3332995539118,0.0,8.881784197001252e-16,0.0,1.2698367855008061,-1.4210854715202004e-14,1.509903313490213e-14,5.7071877379839e-15,20000,qp_active,nuPI (rho=0),"ki=1, kp=1",False,0.025472576427598502
5942.993236998284,9.70581601472682,190.33610200021377,8168.120710919048,0.0,6036.326536552197,98.69114263728073,45.73586538083827,20000,qp_active,nuPI (rho=0),"ki=1, kp=10",False,0.025472576427598502
-95.14813947151356,0.45194623947672774,1.6084779147815276,0.6864225187665491,0.42195032867347315,-1.8148399176017733,1.3537408594283553,0.5544803996353653,20000,qp_active,nuPI (rho=1),"ki=0.0001, kp=0",False,0.017117804745729968
-95.14819623198028,0.45194689856651227,1.6085436014926628,0.6864605873740238,0.42182472647523817,-1.814896678068493,1.3538664616265903,0.5545318092987657,20000,qp_active,nuPI (rho=1),"ki=0.0001, kp=0.0001",False,0.017117804745729968
-95.1472308969344,0.45137384452731943,1.6076568119421353,0.6862384285408853,0.42182646883064917,-1.8139313430226167,1.3538647192711792,0.5545205610659923,20000,qp_active,nuPI (rho=1),"ki=0.0001, kp=0.001",False,0.017117804745729968
-93.75331311207435,0.09749701182003312,0.21169220569040448,0.16031117358287963,0.5957977032992569,-0.4200135581625659,0.780272563041036,0.3403386490998914,20000,qp_active,nuPI (rho=1),"ki=0.0003, kp=0",False,0.017117804745729968
-93.75344518796237,0.09752037064720964,0.2117930801600032,0.16036114640270852,0.5955191006958389,-0.42014563405058425,0.7805307949746384,0.34048196274659054,20000,qp_active,nuPI (rho=1),"ki=0.0003, kp=0.0003",False,0.017117804745729968
-93.7536856168995,0.0974820008502868,0.21258046465263902,0.16013407091761123,0.5960486314173253,-0.42038606298771697,0.7806455781116001,0.3408058829699583,20000,qp_active,nuPI (rho=1),"ki=0.0003, kp=0.003",False,0.017117804745729968
-93.36052917055068,0.011505468808720387,0.01652509272724423,0.02111086765110801,0.7317068032894262,-0.02722961663889123,0.5771505594298348,0.22255549989836768,20000,qp_active,nuPI (rho=1),"ki=0.001, kp=0",False,0.017117804745729968
-93.36056278246812,0.011520488237602322,0.01655101440957374,0.021147903427043622,0.73087056946497,-0.027263228556336117,0.577986793254291,0.22288205996223803,20000,qp_active,nuPI (rho=1),"ki=0.001, kp=0.001",False,0.017117804745729968
-93.36074297978169,0.011501342651711433,0.016638760584458012,0.02122770578745503,0.7296948911170701,-0.02744342586990456,0.5791624716021909,0.22344127236485978,20000,qp_active,nuPI (rho=1),"ki=0.001, kp=0.01",False,0.017117804745729968
-93.34218573463932,0.005327485720015623,0.006900851304362021,0.008057129218158394,1.0759966502541456,-0.008886180727529336,0.23286071246511542,0.08813512755884748,20000,qp_active,nuPI (rho=1),"ki=0.003, kp=0",False,0.017117804745729968
-93.34222027144303,0.005351447135591769,0.006931892023350983,0.008096179257599373,1.0749489872929965,-0.008920717531239575,0.23390837542626453,0.08853167345178238,20000,qp_active,nuPI (rho=1),"ki=0.003, kp=0.003",False,0.017117804745729968
-93.34228359936513,0.005395078835821465,0.006988470794009771,0.008167581133609625,1.0730364705836224,-0.008984045453345857,0.23582089213563862,0.08925582887512508,20000,qp_active,nuPI (rho=1),"ki=0.003, kp=0.03",False,0.017117804745729968
-93.33369223561978,0.00020828732635980174,0.0002706965305527831,0.0002916832314233839,1.2666650573923095,-0.00039268170799289237,0.009098947262886625,0.0034437939787830755,20000,qp_active,nuPI (rho=1),"ki=0.01, kp=0",False,0.017117804745729968
-93.33369857878559,0.0002116680722705766,0.0002750899461467782,0.0002964331811962496,1.2666135761145179,-0.000399024873800613,0.009246634883083305,0.0034996911710485678,20000,qp_active,nuPI (rho=1),"ki=0.01, kp=0.01",False,0.017117804745729968
-93.33371289723615,0.00021930137755798995,0.00028500757854743597,0.0003071598064786918,1.2664973346799273,-0.0004133433243680429,0.00958010307260837,0.0036259029702300793,20000,qp_active,nuPI (rho=1),"ki=0.01, kp=0.1",False,0.017117804745729968
-93.3332995905284,1.932840998364327e-08,2.5363030786706986e-08,2.6980178960627518e-08,1.2698364915230926,-3.661661196474597e-08,8.434681306734859e-07,3.1924973120139625e-07,20000,qp_active,nuPI (rho=1),"ki=0.03, kp=0",False,0.017117804745729968
